create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-02,R,33,,10,H,558687
2018-02-28,2018-01-02,R,33,,11,H,509942
2018-02-28,2018-01-02,R,33,,12,H,436456
2018-02-28,2018-01-02,R,33,,13,H,366033
2018-02-28,2018-01-02,R,33,,14,H,315688
2018-02-28,2018-01-02,R,33,,15,H,252605
2018-02-28,2018-01-02,R,33,,16,H,198585
2018-02-28,2018-01-02,R,33,,17,H,142749
2018-02-28,2018-01-02,R,33,,18,H,102958
2018-02-28,2018-01-02,R,33,,19,H,64094
2018-02-28,2018-01-02,R,33,,20,H,36579
2018-02-28,2018-01-02,R,33,,21,H,17449
2018-02-28,2018-01-02,R,33,,22,H,-2871
2018-02-28,2018-01-02,R,33,,23,H,-19847
2018-02-28,2018-01-02,R,33,,24,H,-27208
2018-02-28,2018-01-02,R,33,,25,H,-42664
2018-02-28,2018-01-02,R,33,,26,H,-34309
2018-02-28,2018-01-02,R,33,,27,H,-36711
2018-02-28,2018-01-02,R,33,,28,H,-16672
2018-02-28,2018-01-02,R,33,,29,H,-10764
2018-02-28,2018-01-02,R,33,,30,H,1727
2018-02-28,2018-01-02,R,33,,31,H,9536
2018-02-28,2018-01-02,R,33,,32,H,36042
2018-02-28,2018-01-02,R,33,,33,H,57362
2018-02-28,2018-01-02,R,33,,34,H,80041
2018-02-28,2018-01-02,R,33,,35,H,97905
2018-02-28,2018-01-02,R,33,,36,H,116278
2018-02-28,2018-01-02,R,33,,37,H,132734
2018-02-28,2018-01-02,R,33,,38,H,157030
2018-02-28,2018-01-02,R,33,,39,H,172857
2018-02-28,2018-01-02,R,33,,40,H,194843
2018-02-28,2018-01-02,R,33,,41,H,216785
2018-02-28,2018-01-02,R,33,,42,H,225433
2018-02-28,2018-01-02,R,33,,43,H,227057
2018-02-28,2018-01-02,R,33,,44,H,243814
2018-02-28,2018-01-02,R,33,,45,H,259883
2018-02-28,2018-01-02,R,33,,46,H,258913
2018-02-28,2018-01-02,R,33,,47,H,268342
2018-02-28,2018-01-02,R,33,,48,H,253894
2018-02-28,2018-01-02,R,33,,49,H,262046
2018-02-28,2018-01-02,R,33,,50,H,262155
2018-02-28,2018-01-02,R,33,,51,H,257151
2018-02-28,2018-01-02,R,33,,52,H,253013
2018-02-28,2018-01-02,R,33,,53,H,253622
2018-02-28,2018-01-02,R,33,,54,H,241614
2018-02-28,2018-01-02,R,33,,55,H,251358
2018-02-28,2018-01-02,R,33,,56,H,236907
2018-02-28,2018-01-02,R,33,,57,H,242291
2018-02-28,2018-01-02,R,33,,58,H,245938
2018-02-28,2018-01-02,R,33,,59,H,244788
2018-02-28,2018-01-02,R,33,,60,H,242333
